Avg Salary,Mean of Avg Salary,Median of Avg,Median of Avg Salary,Max of Avg Salary,Standard Deviation of Avg Salary,,Rating,Mean of Rating,Median of Rating,Min of Rating,Max of Rating,Standard Deviation of Rating
33500,,,,,,,3.5,,,,,
33500,,,,,,,3.6,,,,,
33500,,,,,,,2.7,,,,,
33500,,,,,,,3.9,,,,,
33500,,,,,,,3.9,,,,,
33500,,,,,,,3.4,,,,,
33500,,,,,,,4.8,,,,,
33500,,,,,,,3.1,,,,,
33500,,,,,,,3.2,,,,,
33500,,,,,,,4.0,,,,,
33500,,,,,,,3.6,,,,,
33500,,,,,,,4.3,,,,,
33500,,,,,,,4.1,,,,,
33500,,,,,,,2.5,,,,,
33500,,,,,,,3.7,,,,,
33500,,,,,,,3.7,,,,,
33500,,,,,,,3.6,,,,,
33500,,,,,,,3.9,,,,,
33500,,,,,,,3.9,,,,,
33500,,,,,,,4.0,,,,,
33500,,,,,,,4.8,,,,,
61500,,,,,,,4.2,,,,,
61500,,,,,,,5.0,,,,,
